,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,beta,alpha,alpha_decay,lr_decay,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,6,350,0.003,1032,256,0.01,0.6088337093647505,0.998,0.95,10,200,selu,5.026295855641365,3.289088099656112e-07
0,1,9,428,3e-05,1032,256,0.01,0.7520991515124424,0.998,0.95,10,200,selu,1.7854166701436043,0.024995014478918165
0,2,5,314,3e-05,1032,256,0.01,0.4441575673991113,0.998,0.95,10,200,selu,3.4761637449264526,0.04380113596562296
0,3,6,100,0.003,1032,256,0.01,0.5507059711474633,0.998,0.95,10,200,selu,4.9415572732687,1.00725622842468e-07
0,4,5,294,0.003,1032,256,0.01,0.6436317413971705,0.998,0.95,10,200,selu,5.03231093287468,2.1207747202822702e-07
0,5,9,211,3e-05,1032,256,0.01,0.32330228634422764,0.998,0.95,10,200,selu,4.3717727065086365,0.011453730869106948
0,6,8,427,0.003,1032,256,0.01,0.8238818633174949,0.998,0.95,10,200,selu,5.011798366904259,2.29835083187524e-08
0,7,9,104,3e-05,1032,256,0.01,0.35664255686330765,0.998,0.95,10,200,selu,3.93112051486969,0.052812122739851475
0,8,9,201,0.0003,1032,256,0.01,0.9373357731014005,0.998,0.95,10,200,selu,0.8680543247610331,0.0333755211904645
0,9,6,367,3e-05,1032,256,0.01,0.6547062678063741,0.998,0.95,10,200,selu,1.628593310713768,0.0354135453235358
0,10,9,482,0.0003,1032,256,0.01,0.7572409589719536,0.998,0.95,10,200,selu,5.046194240450859,3.1149901147387027e-06
0,11,8,257,0.003,1032,256,0.01,0.8015642626306383,0.998,0.95,10,200,selu,5.0010742992162704,4.9165594484534836e-08
0,12,6,355,0.0003,1032,256,0.01,0.9038707795527909,0.998,0.95,10,200,selu,1.420033447444439,0.0355931957019493
0,13,9,111,0.0003,1032,256,0.01,0.572269313717513,0.998,0.95,10,200,selu,4.9190138429403305,2.8180355002405122e-05
0,14,8,159,0.0003,1032,256,0.01,0.9936935331155381,0.998,0.95,10,200,selu,0.20545406406745315,0.03147820464801043
0,15,6,228,0.003,1032,256,0.01,0.4072320650280228,0.998,0.95,10,200,selu,5.01118877530098,1.2949722377753048e-08
0,16,5,320,3e-05,1032,256,0.01,0.5683146868820222,0.998,0.95,10,200,selu,1.9345590695738792,0.05661983764730394
0,17,9,299,0.0003,1032,256,0.01,0.6507651747472706,0.998,0.95,10,200,selu,4.9855996966362,1.7983743418881204e-06
0,18,8,340,0.0003,1032,256,0.01,0.44005067809987275,0.998,0.95,10,200,selu,4.9976843148469925,1.3634923945460287e-06
0,19,7,126,3e-05,1032,256,0.01,0.5996774496972945,0.998,0.95,10,200,selu,2.5294400230050087,0.09922474576160312
0,20,6,257,3e-05,1032,256,0.01,0.5952148914625721,0.998,0.95,10,200,selu,2.1849694699048996,0.04359677725005895
0,21,6,305,0.003,1032,256,0.01,0.5490544341586507,0.998,0.95,10,200,selu,5.060407653450966,2.490606423322106e-07
0,22,9,488,0.003,1032,256,0.01,0.7466445073305414,0.998,0.95,10,200,selu,5.028256520628929,1.5720782398087607e-08
0,23,9,338,0.0003,1032,256,0.01,0.9128879656420343,0.998,0.95,10,200,selu,4.66887854039669,0.004398187331389636
0,24,7,485,0.0003,1032,256,0.01,0.6091909457234759,0.998,0.95,10,200,selu,5.034294843673706,3.202920829892264e-06
0,25,9,451,3e-05,1032,256,0.01,0.6158612964576449,0.998,0.95,10,200,selu,3.008810877799988,0.013237077801022679
0,26,8,174,0.0003,1032,256,0.01,0.31498054657607216,0.998,0.95,10,200,selu,4.943652629852295,3.394463760741928e-06
0,27,9,146,3e-05,1032,256,0.01,0.6863384588455755,0.998,0.95,10,200,selu,2.493684336543083,0.059410354821011424
0,28,6,160,0.003,1032,256,0.01,0.5245949088618796,0.998,0.95,10,200,selu,4.948758006095886,1.534611206999159e-07
0,29,5,165,0.003,1032,256,0.01,0.73258744148802,0.998,0.95,10,200,selu,4.970818221569061,7.711452099101734e-08
0,30,8,370,3e-05,1032,256,0.01,0.9175566678611518,0.998,0.95,10,200,selu,0.7622909173369408,0.04648068291135132
0,31,9,263,0.003,1032,256,0.01,0.5739571564850007,0.998,0.95,10,200,selu,5.0064606964588165,2.480447214292525e-08
0,32,6,472,3e-05,1032,256,0.01,0.5874992777611718,0.998,0.95,10,200,selu,1.9380934163928032,0.02127190795727074
0,33,9,332,0.0003,1032,256,0.01,0.7293547700124154,0.998,0.95,10,200,selu,4.969656839966774,1.4237669425654076e-06
0,34,6,242,0.0003,1032,256,0.01,0.5835093575190105,0.998,0.95,10,200,selu,4.998231038451195,9.809529092308367e-05
0,35,5,400,0.003,1032,256,0.01,0.9433431655511875,0.998,0.95,10,200,selu,4.996233135461807,6.807687409349228e-07
0,36,6,433,0.003,1032,256,0.01,0.872121430439299,0.998,0.95,10,200,selu,5.069947049021721,4.4109873842401726e-07
0,37,9,100,0.0003,1032,256,0.01,0.3804616903668335,0.998,0.95,10,200,selu,4.972807511687279,1.0226407795244086e-05
0,38,7,229,0.003,1032,256,0.01,0.30008911044563186,0.998,0.95,10,200,selu,4.9689426720142365,1.2121046805146918e-08
0,39,9,495,3e-05,1032,256,0.01,0.5781254199016814,0.998,0.95,10,200,selu,3.475817382335663,0.009737038082676008
0,40,7,492,0.003,1032,256,0.01,0.4156591203465888,0.998,0.95,10,200,selu,5.107260197401047,1.3126850634259668e-08
0,41,6,230,0.003,1032,256,0.01,0.38164510703904286,0.998,0.95,10,200,selu,4.969407856464386,1.2510301483636965e-07
0,42,8,395,3e-05,1032,256,0.01,0.45795116775958683,0.998,0.95,10,200,selu,3.606442451477051,0.01169946714071557
0,43,5,232,0.0003,1032,256,0.01,0.9377914163008194,0.998,0.95,10,200,selu,0.49846818670630455,0.044005784089677036
0,44,5,129,3e-05,1032,256,0.01,0.32919749363070283,0.998,0.95,10,200,selu,3.935666471719742,0.08778824773617089
0,45,9,393,0.0003,1032,256,0.01,0.8404048526272268,0.998,0.95,10,200,selu,4.926150873303413,0.0008475191498291679
0,46,6,262,0.003,1032,256,0.01,0.7467906306260608,0.998,0.95,10,200,selu,4.989211335778236,1.0960172769358678e-07
0,47,5,405,3e-05,1032,256,0.01,0.7464768528075078,0.998,0.95,10,200,selu,0.9419220834970474,0.0527661656960845
0,48,7,464,0.0003,1032,256,0.01,0.9936671357310631,0.998,0.95,10,200,selu,0.5880935862660408,0.036089096567593515
0,49,5,130,0.0003,1032,256,0.01,0.7934180583675472,0.998,0.95,10,200,selu,2.458002820611,0.022872878529597074
0,50,7,441,0.0003,1032,256,0.01,0.6398564470339791,0.998,0.95,10,200,selu,4.904900282621384,2.5777127845572068e-06
0,51,6,254,0.0003,1032,256,0.01,0.6431359101302618,0.998,0.95,10,200,selu,4.919309392571449,0.0002914587339546415
0,52,6,111,0.0003,1032,256,0.01,0.49916184001015884,0.998,0.95,10,200,selu,4.954464256763458,0.00041192909702658653
0,53,7,376,0.0003,1032,256,0.01,0.7227385090872024,0.998,0.95,10,200,selu,4.9867095947265625,5.239010775426323e-06
0,54,7,155,0.003,1032,256,0.01,0.8970538077846464,0.998,0.95,10,200,selu,5.035024121403694,1.2365153656546113e-07
0,55,8,211,0.0003,1032,256,0.01,0.740909104557455,0.998,0.95,10,200,selu,5.016733109951019,0.0001266449598915642
0,56,6,391,0.0003,1032,256,0.01,0.6036593138332499,0.998,0.95,10,200,selu,4.97061949968338,3.05573487366928e-05
0,57,5,134,0.003,1032,256,0.01,0.5088762876200366,0.998,0.95,10,200,selu,4.980786606669426,5.299320693374909e-08
0,58,6,346,0.0003,1032,256,0.01,0.6602850032981288,0.998,0.95,10,200,selu,5.010429099202156,6.646230394835584e-05
0,59,9,157,3e-05,1032,256,0.01,0.5623035830213119,0.998,0.95,10,200,selu,3.2263977080583572,0.027514957007952034
